,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
229,for.body8,atax,1.0,kernel_atax_StrictFP,288670607.0,144335000.0,8003586.0,288670607.0,2,6,144335000.0
230,for.body8,atax,1.0,kernel_atax_StrictFP,277642509.0,138821000.0,8003586.0,277642509.0,1,5,138821000.0
231,for.body8,atax,1.0,kernel_atax_StrictFP,277632150.0,138816000.0,8003586.0,277632150.0,2,5,138816000.0
232,for.body8,atax,1.0,kernel_atax_StrictFP,277884361.0,138942000.0,8003586.0,277884361.0,1,0,138942000.0
233,for.body8,atax,1.0,kernel_atax_StrictFP,288847379.0,144424000.0,8003586.0,288847379.0,2,4,144424000.0
234,for.body8,atax,1.0,kernel_atax_StrictFP,288734555.0,144367000.0,8003586.0,288734555.0,1,2,144367000.0
235,for.body8,atax,1.0,kernel_atax_StrictFP,288809883.0,144405000.0,8003586.0,288809883.0,1,8,144405000.0
236,for.body8,atax,1.0,kernel_atax_StrictFP,288855224.0,144428000.0,8003586.0,288855224.0,2,3,144428000.0
237,for.body8,atax,1.0,kernel_atax_StrictFP,278044364.0,139022000.0,8003586.0,278044364.0,2,0,139022000.0
238,for.body8,atax,1.0,kernel_atax_StrictFP,288410767.0,144205000.0,8003586.0,288410767.0,1,10,144205000.0
239,for.body8,atax,1.0,kernel_atax_StrictFP,288606631.0,144303000.0,8003586.0,288606631.0,2,1,144303000.0
240,for.body8,atax,1.0,kernel_atax_StrictFP,288591610.0,144296000.0,8003586.0,288591610.0,2,8,144296000.0
241,for.body8,atax,1.0,kernel_atax_StrictFP,288759101.0,144380000.0,8003586.0,288759101.0,2,10,144380000.0
242,for.body,automotive-bitcount,1125000.0,bit_shifter,52812.0,188.433,208.0,104.0,1,7,193.473
243,for.body,automotive-bitcount,1125000.0,bit_shifter,67604.0,188.602,208.0,104.0,1,6,201.907
244,for.body,automotive-bitcount,1125000.0,bit_shifter,115573.0,188.66,208.0,104.0,2,7,235.432
245,for.body,automotive-bitcount,1125000.0,bit_shifter,90051.0,188.744,208.0,104.0,1,4,222.094
246,for.body,automotive-bitcount,1125000.0,bit_shifter,80990.0,188.326,208.0,104.0,2,9,186.073
247,for.body,automotive-bitcount,1125000.0,bit_shifter,47447.0,188.05,208.0,104.0,1,9,161.217
248,for.body,automotive-bitcount,1125000.0,bit_shifter,78125.0,173.51,156.0,104.0,2,2,170.646
249,for.body,automotive-bitcount,1125000.0,bit_shifter,77604.0,188.531,208.0,104.0,1,3,193.017
250,for.body,automotive-bitcount,1125000.0,bit_shifter,114635.0,188.453,208.0,104.0,1,1,206.924
251,for.body,automotive-bitcount,1125000.0,bit_shifter,80052.0,188.562,208.0,104.0,2,6,208.036
252,for.body,automotive-bitcount,1125000.0,bit_shifter,50520.0,188.276,208.0,104.0,1,5,190.102
253,for.body,automotive-bitcount,1125000.0,bit_shifter,131041.0,188.473,208.0,104.0,2,5,238.21
254,for.body,automotive-bitcount,1125000.0,bit_shifter,101666.0,173.652,156.0,104.0,1,0,184.2
255,for.body,automotive-bitcount,1125000.0,bit_shifter,53385.0,188.213,208.0,104.0,2,4,168.874
256,for.body,automotive-bitcount,1125000.0,bit_shifter,64166.0,173.852,156.0,104.0,1,2,195.103
257,for.body,automotive-bitcount,1125000.0,bit_shifter,62136.0,188.371,208.0,104.0,1,8,190.106
258,for.body,automotive-bitcount,1125000.0,bit_shifter,60886.0,188.523,208.0,104.0,2,3,196.122
