,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
92,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9608000.0,9606660.0,9607000.0,9605000.0,1,4,575.159
93,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,10018000.0,10016100.0,10016000.0,10015000.0,1,5,571.79
94,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9364000.0,9362560.0,9363000.0,9361000.0,1,6,595.222
95,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9700000.0,9698680.0,9699000.0,9697000.0,1,7,567.709
96,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9273000.0,9271510.0,9272000.0,9270000.0,1,8,564.688
97,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9775000.0,9772950.0,9773000.0,9771000.0,1,9,568.782
98,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9537000.0,9535690.0,9536000.0,9534000.0,1,10,563.987
99,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9841000.0,9838910.0,9839000.0,9837000.0,2,0,531.145
100,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9699000.0,9697030.0,9697000.0,9695000.0,2,1,562.454
101,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9679000.0,9677550.0,9678000.0,9676000.0,2,2,559.778
102,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9449000.0,9447220.0,9447000.0,9445000.0,2,3,582.432
103,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9608000.0,9606770.0,9607000.0,9605000.0,2,4,568.486
104,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,10018000.0,10016200.0,10016000.0,10015000.0,2,5,560.62
105,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9364000.0,9362440.0,9362000.0,9361000.0,2,6,586.656
106,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9700000.0,9698530.0,9699000.0,9697000.0,2,7,578.016
107,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9273000.0,9271550.0,9272000.0,9270000.0,2,8,567.451
108,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9775000.0,9772890.0,9773000.0,9771000.0,2,9,564.99
109,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9538000.0,9535720.0,9536000.0,9534000.0,2,10,562.155
110,while.body,anagram,560.0,FindAnagram,4038000.0,3090810.0,3971000.0,36000.0,1,0,990117.0
